E-nummer,Internationalt navn,Dansk kaldenavn,Funktion,Risici,Forskningsafsnit,Link,Kilde
E482,Calcium stearoyl-2-lactylate,Calciumstearoyl-2-lactylat,Emulgeringsmiddel/dejforbedrer,Ingen dokumenteret EU-specifik advarsel; ADI blev i 2013 hævet af EFSA til 22 mg/kg legemsvægt/dag (fælles for E481 og E482).,EFSA genvurderede E481 og E482 i 2013 og hævede ADI'en efter gennemgang af nyere toksikologiske data.,https://www.efsa.europa.eu/en/efsajournal/pub/3144,"EFSA Journal, 2013"
E491,Sorbitan monostearate,Sorbitanmonostearat,Emulgeringsmiddel,"Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for gruppe-ADI på 10 mg/kg legemsvægt/dag (E491-495 samlet, udtrykt som sorbitol).",EFSA's gruppegenvurdering i 2017 af E491-E495 fandt ingen bekymring for gentoksicitet og fastsatte en fælles gruppe-ADI.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010202/,"EFSA Journal, 2017"
E492,Sorbitan tristearate,Sorbitantristearat,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for gruppe-ADI på 10 mg/kg legemsvægt/dag (E491-495 samlet).,Del af EFSA's fælles gruppegenvurdering af sorbitanestrene E491-E495 i 2017.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010202/,"EFSA Journal, 2017"
E493,Sorbitan monolaurate,Sorbitanmonolaurat,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for gruppe-ADI på 10 mg/kg legemsvægt/dag (E491-495 samlet).,Del af EFSA's fælles gruppegenvurdering af sorbitanestrene E491-E495 i 2017.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010202/,"EFSA Journal, 2017"
E494,Sorbitan monooleate,Sorbitanmonooleat,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for gruppe-ADI på 10 mg/kg legemsvægt/dag (E491-495 samlet).,Del af EFSA's fælles gruppegenvurdering af sorbitanestrene E491-E495 i 2017.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010202/,"EFSA Journal, 2017"
E495,Sorbitan monopalmitate,Sorbitanmonopalmitat,Emulgeringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for gruppe-ADI på 10 mg/kg legemsvægt/dag (E491-495 samlet).,Del af EFSA's fælles gruppegenvurdering af sorbitanestrene E491-E495 i 2017.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010202/,"EFSA Journal, 2017"
E499,Stigmasterol-rich plant sterols,Stigmasterolrige plantesteroler,"Stabilisator (kun godkendt til ready-to-freeze alkoholiske cocktails, maks. 0,08 g/l)",Ingen dokumenteret EU-specifik advarsel; snævert godkendt anvendelsesområde.,Ingen særskilt forskningsomtale fundet.,https://www.legislation.gov.uk/eur/2013/739/contents/data.html,EU-forordning 739/2013
E500,"Sodium carbonate, sodium bicarbonate, sodium sesquicarbonate","Natriumcarbonat, natron, tvekulsurt natron",Surhedsregulerende middel og hævemiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges bl.a. i bagepulver og som pH-regulator i mange fødevarer. EFSA har ikke fundet grund til bekymring ved normalt forbrug.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E501,"Potassium carbonate, potassium bicarbonate","Kaliumcarbonat, tvekulsurt kalium",Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges bl.a. i kakaoprodukter og bagværk til at regulere surhedsgrad.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E503,"Ammonium carbonate, ammonium bicarbonate","Ammoniumcarbonat, hjortetaksalt",Hævemiddel og surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Traditionelt hævemiddel (hjortetaksalt) i tørt bagværk som klejner og honningkager.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E504,"Magnesium carbonate, magnesium hydroxide carbonate",Magnesiumcarbonat,Surhedsregulerende middel og klumpeforebyggende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges som antiklumpningsmiddel og pH-regulator i bl.a. krydderier.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E507,Hydrochloric acid,Saltsyre,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Anvendes i meget begrænset omfang til pH-justering under fødevareforarbejdning.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E508,Potassium chloride,Kaliumklorid,"Geleringsmiddel, smagsforstærker og saltsubstitut",Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret). Personer med nedsat nyrefunktion bør generelt være opmærksomme på højt kaliumindtag.,Bruges ofte som delvis erstatning for almindeligt salt (natriumklorid).,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E509,Calcium chloride,Calciumklorid,Fastholdelsesmiddel og geleringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges bl.a. til at holde grøntsager og frugt faste ved konservering.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E511,Magnesium chloride,Magnesiumklorid,Fastholdelsesmiddel (bl.a. i tofu),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Traditionelt koaguleringsmiddel (nigari) ved fremstilling af tofu.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E512,Stannous chloride (tin(II) chloride),Tinklorid,Antioxidant og farvestabilisator,"EFSA har genvurderet tinforbindelser; anvendelse er begrænset til hvid asparges og lignende konserves for at bevare farven. Højt indtag af tin generelt kan give mavegener, men niveauerne i tilladte anvendelser vurderes sikre.",Anvendes næsten udelukkende til at bevare den hvide farve i dåseasparges og lignende konserves.,https://www.efsa.europa.eu/en/efsajournal/pub/1420,EFSA / EU-Kommissionen (Forordning 1333/2008)
E513,Sulphuric acid,Svovlsyre,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Anvendes i meget begrænset omfang til pH-justering under forarbejdning.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E514,"Sodium sulphate, sodium hydrogen sulphate","Natriumsulfat, natriumbisulfat",Surhedsregulerende middel og bæreemne,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges bl.a. som bæremiddel for farvestoffer.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E515,"Potassium sulphate, potassium hydrogen sulphate",Kaliumsulfat,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges i mindre grad som pH-regulator.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E516,Calcium sulphate,"Calciumsulfat, gips",Fastholdelsesmiddel og geleringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges bl.a. som geleringsmiddel til tofu og som bæremiddel i mel.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E517,Ammonium sulphate,Ammoniumsulfat,Hjælpestof til gæring (dej),Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges som næring for gær i dej.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E520,Aluminium sulphate,Aluminiumsulfat,Fastholdelsesmiddel,"EFSA's genvurdering (2018) af aluminiumsulfater (E520-523) og natriumaluminiumphosphat (E541) konkluderede, at de nuværende godkendte anvendelser og mængder ikke giver sikkerhedsmæssige bekymringer, da eksponeringen er meget lav. Aluminium generelt er dog underlagt en samlet tolerabel ugentlig indtagelse (TWI) pga. mulige effekter på nervesystem og forplantning ved højt, kronisk indtag fra alle kilder.","Kun godkendt til meget få specifikke fødevarer (bl.a. syltede grøntsager), hvor den reelle eksponering vurderes tæt på nul.",https://www.efsa.europa.eu/en/efsajournal/pub/5372,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E521,Aluminium sodium sulphate,Aluminiumnatriumsulfat,Fastholdelsesmiddel,"Omfattet af samme EFSA-genvurdering som E520-523/E541 (2018); ingen sikkerhedsbekymring ved godkendte, meget begrænsede anvendelser. Aluminium er underlagt en samlet tolerabel ugentlig indtagelse fra alle kilder.",Meget begrænset anvendelse i EU; bidrager minimalt til det samlede aluminiumindtag.,https://www.efsa.europa.eu/en/efsajournal/pub/5372,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E522,Aluminium potassium sulphate,"Aluminiumkaliumsulfat, alun",Fastholdelsesmiddel og surhedsregulerende middel,"Omfattet af samme EFSA-genvurdering som E520-523/E541 (2018); ingen sikkerhedsbekymring ved godkendte, meget begrænsede anvendelser. Aluminium er underlagt en samlet tolerabel ugentlig indtagelse fra alle kilder.",Traditionelt kendt som alun; bruges i meget begrænset omfang.,https://www.efsa.europa.eu/en/efsajournal/pub/5372,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E523,Aluminium ammonium sulphate,Aluminiumammoniumsulfat,Fastholdelsesmiddel,"Omfattet af samme EFSA-genvurdering som E520-523/E541 (2018); ingen sikkerhedsbekymring ved godkendte, meget begrænsede anvendelser. Aluminium er underlagt en samlet tolerabel ugentlig indtagelse fra alle kilder.",Meget begrænset anvendelse i EU.,https://www.efsa.europa.eu/en/efsajournal/pub/5372,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E524,Sodium hydroxide,Natriumhydroxid (kaustisk soda),Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel ved godkendt anvendelse; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Anvendes bl.a. til overfladebehandling af breze/lud-bagværk og til pH-justering.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E525,Potassium hydroxide,Kaliumhydroxid,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel ved godkendt anvendelse; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges til pH-justering i mindre omfang.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E526,Calcium hydroxide,"Calciumhydroxid, brændt kalk (læsket)",Surhedsregulerende middel og fastholdelsesmiddel,Ingen dokumenteret EU-specifik advarsel ved godkendt anvendelse; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Traditionelt brugt til bl.a. nixtamalisering af majs.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E527,Ammonium hydroxide,Ammoniumhydroxid,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel ved godkendt anvendelse; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Anvendes i meget begrænset omfang til pH-justering.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E528,Magnesium hydroxide,Magnesiumhydroxid,Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel ved godkendt anvendelse; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Anvendes i mindre grad til pH-justering.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E529,Calcium oxide,"Calciumoxid, brændt kalk",Surhedsregulerende middel,Ingen dokumenteret EU-specifik advarsel ved godkendt anvendelse; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Anvendes i mindre grad i bl.a. mel og krydderier.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E530,Magnesium oxide,Magnesiumoxid,Klumpeforebyggende middel,Ingen dokumenteret EU-specifik advarsel ved godkendt anvendelse; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges bl.a. som antiklumpningsmiddel i tabletform kosttilskud.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E535,Sodium ferrocyanide,Natriumferrocyanid,Klumpeforebyggende middel (saltsubstitut),"EFSA's genvurdering (2018) fastsatte en gruppe-ADI på 0,03 mg/kg kropsvægt/dag (som ferrocyanid-ion) for E535-538. Nyren blev identificeret som målorgan ved høje doser i dyrestudier, men ved de godkendte, meget lave anvendelsesniveauer (kun som klumpeforebyggende middel i salt) vurderes der ikke at være sikkerhedsmæssig bekymring.",Kun godkendt i to fødevarekategorier som saltsubstitut/antiklumpningsmiddel i bordsalt.,https://www.efsa.europa.eu/en/efsajournal/pub/5374,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E536,Potassium ferrocyanide,Kaliumferrocyanid,Klumpeforebyggende middel (saltsubstitut),"Omfattet af samme EFSA-genvurdering (2018) og gruppe-ADI på 0,03 mg/kg kropsvægt/dag som E535/E538; ingen bekymring ved godkendt, lav anvendelse.",Kun godkendt i to fødevarekategorier som saltsubstitut/antiklumpningsmiddel i bordsalt.,https://www.efsa.europa.eu/en/efsajournal/pub/5374,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E538,Calcium ferrocyanide,Calciumferrocyanid,Klumpeforebyggende middel (saltsubstitut),"Omfattet af samme EFSA-genvurdering (2018) og gruppe-ADI på 0,03 mg/kg kropsvægt/dag som E535/E536; ingen bekymring ved godkendt, lav anvendelse.",Kun godkendt i to fødevarekategorier som saltsubstitut/antiklumpningsmiddel i bordsalt.,https://www.efsa.europa.eu/en/efsajournal/pub/5374,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E541,"Sodium aluminium phosphate, acidic",Surt natriumaluminiumphosphat,Hævemiddel og surhedsregulerende middel,"Omfattet af samme EFSA-genvurdering som E520-523 (2018); ingen sikkerhedsbekymring ved godkendte, meget begrænsede anvendelser. Aluminium er underlagt en samlet tolerabel ugentlig indtagelse fra alle kilder.",Bruges i meget begrænset omfang i visse bagværksprodukter i EU.,https://www.efsa.europa.eu/en/efsajournal/pub/5372,EFSA (2018) / EU-Kommissionen (Forordning 1333/2008)
E551,Silicon dioxide,"Siliciumdioxid, silica",Klumpeforebyggende middel,"EFSA's genvurdering (2018, opdateret 2024) fandt ingen tegn på toksicitet eller genotoksicitet ved de godkendte anvendelser, men bemærkede at partiklerne delvis ligger i nanostørrelse, og at der mangler langtidsstudier med nanoformen samt tilstrækkelig karakterisering af partikelstørrelsesfordelingen. EFSA kunne derfor ikke give en fuldstændig 'frikendelse'.",Bruges bredt som antiklumpningsmiddel i pulverprodukter som krydderier og suppepulver.,https://www.efsa.europa.eu/en/efsajournal/pub/5088,EFSA (2018/2024)
E552,Calcium silicate,Calciumsilikat,Klumpeforebyggende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges som antiklumpningsmiddel i bl.a. salt og krydderier.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E553a,"Magnesium silicate, magnesium trisilicate","Magnesiumsilikat, magnesiumtrisilikat",Klumpeforebyggende middel,Ingen dokumenteret EU-specifik advarsel; vurderes sikkert inden for fastsat ADI (ikke specificeret).,"Bruges som antiklumpningsmiddel, bl.a. i tyggegummi og krydderier.",https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E553b,Talc,Talkum,Klumpeforebyggende middel og overfladebehandlingsmiddel,Ingen dokumenteret EU-specifik advarsel ved anvendelse som fødevaretilsætning; vurderes sikkert inden for fastsat ADI (ikke specificeret).,Bruges bl.a. til overfladebehandling af ris og som skilleagent for tyggegummi.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E554,Sodium aluminium silicate,Natriumaluminiumsilikat,Klumpeforebyggende middel,"EFSA's genvurdering af E554/E555 konkluderede ingen sikkerhedsbekymring ved de godkendte, begrænsede anvendelser; aluminiumbidraget vurderes minimalt sammenlignet med den samlede tolerable ugentlige indtagelse.","Bruges som antiklumpningsmiddel, bl.a. i bordsalt.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7448050/,EFSA / EU-Kommissionen (Forordning 1333/2008)
E555,Potassium aluminium silicate,Kaliumaluminiumsilikat,Klumpeforebyggende middel,"EFSA's genvurdering (E554/E555) konkluderede ingen sikkerhedsbekymring ved de godkendte, begrænsede anvendelser (kun tilladt til farvestof-tilberedning); aluminiumbidraget vurderes minimalt.",Anvendelsen er i EU begrænset til at fremstille farvestofpræparater.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7448050/,EFSA / EU-Kommissionen (Forordning 1333/2008)
E556,Calcium aluminium silicate,Calciumaluminiumsilikat,Klumpeforebyggende middel (tidligere godkendt),"IKKE længere godkendt i EU. Godkendelsen blev fjernet ved Forordning (EU) nr. 380/2012 med virkning fra 31. januar 2014, som led i en generel stramning af aluminiumholdige tilsætningsstoffer.",Fjernet fra EU's positivliste; må ikke længere anvendes i fødevarer i EU.,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02008R1333-20231005,EU-Kommissionen (Forordning (EU) nr. 380/2012)
E558,Bentonite,Bentonit,Klumpeforebyggende middel (tidligere godkendt),IKKE længere godkendt som fødevaretilsætning i EU. Godkendelsen blev fjernet ved Forordning (EU) nr. 380/2012 med virkning fra 31. maj 2013.,Fjernet fra EU's positivliste for tilsætningsstoffer; anvendes fortsat til visse tekniske formål (fx klaring af vin) under andre regler.,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02008R1333-20231005,EU-Kommissionen (Forordning (EU) nr. 380/2012)
E559,Aluminium silicate (Kaolin),Kaolin,Klumpeforebyggende middel (tidligere godkendt),"IKKE længere godkendt som fødevaretilsætning i EU. Den midlertidige godkendelse udløb 31. januar 2014 og blev ikke fornyet, bl.a. som led i strammede krav til aluminiumholdige tilsætningsstoffer.",Fjernet fra EU's positivliste; må ikke længere anvendes i fødevarer i EU.,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02008R1333-20231005,EU-Kommissionen (Forordning (EU) nr. 380/2012)
E570,Fatty acids,Fedtsyrer,"Skilleagent, overfladebehandlingsmiddel og skumdæmpningsmiddel","Ingen dokumenteret EU-specifik advarsel; naturligt forekommende fedtsyrer, vurderes sikre inden for fastsat ADI (ikke specificeret).",Bruges bl.a. som skilleagent i tyggegummi og overfladebehandling af frugt.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E574,Gluconic acid,Gluconsyre,Surhedsregulerende middel,"Ingen dokumenteret EU-specifik advarsel; naturligt forekommende syre, vurderes sikker inden for fastsat ADI (ikke specificeret).",Dannes naturligt ved gæring af glukose og bruges bl.a. i bagepulver og drikkevarer.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E575,Glucono-delta-lactone,Glukonodeltalakton (GDL),Surhedsregulerende middel og geleringsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikker inden for fastsat ADI (ikke specificeret).,Bruges bl.a. til langsom syrning af kødprodukter og som koaguleringsmiddel til tofu.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E576,Sodium gluconate,Natriumgluconat,Fortykningsmiddel og stabilisator (chelateringsmiddel),Ingen dokumenteret EU-specifik advarsel; vurderes sikker inden for fastsat ADI (ikke specificeret).,Bruges bl.a. til at forbedre effekten af geleringsmidler.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E577,Potassium gluconate,Kaliumgluconat,Fortykningsmiddel og stabilisator,Ingen dokumenteret EU-specifik advarsel; vurderes sikker inden for fastsat ADI (ikke specificeret).,Bruges bl.a. til at forbedre effekten af geleringsmidler.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E578,Calcium gluconate,Calciumgluconat,Fastholdelsesmiddel og syrningsmiddel,Ingen dokumenteret EU-specifik advarsel; vurderes sikker inden for fastsat ADI (ikke specificeret).,Bruges bl.a. i særlige kosttilskudsprodukter til at tilføre calcium.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E579,Ferrous gluconate,Jerngluconat,Farvestabilisator,"Godkendelsen er specifikt begrænset til farvning af sorte oliven (op til 150 mg/kg), hvor den fastholder den mørke farve. Ingen dokumenteret bredere sikkerhedsbekymring ved denne snævre, godkendte anvendelse.",Bruges udelukkende til at give og fastholde den sorte farve i sorte spiseoliven.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E585,Ferrous lactate,Jernlaktat,Farvestabilisator,"Godkendelsen er specifikt begrænset til farvning af sorte oliven (op til 150 mg/kg), i lighed med E579. Ingen dokumenteret bredere sikkerhedsbekymring ved denne snævre, godkendte anvendelse.",Bruges udelukkende til at give og fastholde den sorte farve i sorte spiseoliven.,https://www.efsa.europa.eu/en/topics/topic/food-additives,EFSA / EU-Kommissionen (Forordning 1333/2008)
E620,Glutamic acid,Glutaminsyre,Smagsforstærker (umami),"EFSA fastsatte i 2017 en samlet gruppe-ADI på 30 mg/kg kropsvægt/dag for E620-E625. EFSA fandt at det modellerede indtag oversteg ADI for flere aldersgrupper ved høje forbrugsniveauer og anbefalede EU-Kommissionen at revidere de tilladte mængder. Den omdiskuterede ""Chinese restaurant syndrome""-effekt er ikke videnskabeligt bekræftet i kontrollerede studier.","EFSA's genvurdering fra 2017 fandt ingen genotoksicitet og ingen skadelige effekter i tilgængelige kort- og langtidsstudier, men pegede på et muligt for højt samlet indtag ved høj eksponering hos alle aldersgrupper.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4910,EFSA (2017)
E621,Monosodium glutamate,"Mononatriumglutamat (MSG, natriumglutamat)",Smagsforstærker (umami),"Samme gruppe-ADI (30 mg/kg kropsvægt/dag) og samme EFSA-vurdering som E620. Den omdiskuterede ""Chinese restaurant syndrome""-effekt er ikke videnskabeligt bekræftet.","EFSA's genvurdering fra 2017 fandt intet grundlag for genotoksicitet, men anbefalede reviderede maksimalgrænser pga. højt modelleret indtag.",https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4910,EFSA (2017)
E622,Monopotassium glutamate,"Monokaliumglutamat, kaliumglutamat",Smagsforstærker (umami),Del af samme gruppe-ADI (30 mg/kg kropsvægt/dag) som E620-E625.,Se EFSA's samlede genvurdering af glutamater (2017).,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4910,EFSA (2017)
E623,Calcium diglutamate,Calciumdiglutamat,Smagsforstærker (umami),Del af samme gruppe-ADI (30 mg/kg kropsvægt/dag) som E620-E625.,Se EFSA's samlede genvurdering af glutamater (2017).,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4910,EFSA (2017)
E624,Monoammonium glutamate,"Monoammoniumglutamat, ammoniumglutamat",Smagsforstærker (umami),Del af samme gruppe-ADI (30 mg/kg kropsvægt/dag) som E620-E625.,Se EFSA's samlede genvurdering af glutamater (2017).,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4910,EFSA (2017)
E625,Magnesium diglutamate,Magnesiumdiglutamat,Smagsforstærker (umami),Del af samme gruppe-ADI (30 mg/kg kropsvægt/dag) som E620-E625.,Se EFSA's samlede genvurdering af glutamater (2017).,https://efsa.onlinelibrary.wiley.com/doi/10.2903/j.efsa.2017.4910,EFSA (2017)
E626,Guanylic acid,Guanylsyre,"Smagsforstærker (umami), forstærker effekten af glutamater","Guanylsyre er et purinstof, der i kroppen omdannes til urinsyre. Personer med gigt (urinsyregigt) eller forhøjet urinsyre bør begrænse indtag af purinholdige tilsætningsstoffer. Guanylater må ikke anvendes i modermælkserstatning og tilskudsblandinger til spædbørn og småbørn.",EU tillader ikke guanylater i produkter til spædbørn under 12 uger; øvrig anvendelse vurderes sikker inden for fastsat ADI.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E627,Disodium guanylate,Dinatriumguanylat,"Smagsforstærker (umami), forstærker effekten af glutamater",Purinholdigt stof; samme forbehold som E626 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E628,Dipotassium guanylate,Dikaliumguanylat,"Smagsforstærker (umami), forstærker effekten af glutamater",Purinholdigt stof; samme forbehold som E626 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E629,Calcium guanylate,Calciumguanylat,"Smagsforstærker (umami), forstærker effekten af glutamater",Purinholdigt stof; samme forbehold som E626 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E630,Inosinic acid,Inosinsyre,"Smagsforstærker (umami), forstærker effekten af glutamater","Purinholdigt stof (mellemprodukt i purinstofskiftet). Personer med gigt, forhøjet urinsyre eller urinsyresten bør begrænse indtag af ekstra purinkilder.",Vurderes sikkert for raske voksne ved normalt kostindtag; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E631,Disodium inosinate,Dinatriuminosinat,"Smagsforstærker (umami), forstærker effekten af glutamater",Purinholdigt stof; samme forbehold som E630 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
E632,Dipotassium inosinate,Dikaliuminosinat,"Smagsforstærker (umami), forstærker effekten af glutamater",Purinholdigt stof; samme forbehold som E630 for personer med gigt/forhøjet urinsyre samt forbud i spædbørnsmad.,Vurderes sikkert inden for fastsat ADI; ikke tilladt til spædbørn under 12 uger.,https://food.ec.europa.eu/food-safety/food-improvement-agents/additives/database_en,Europa-Kommissionens tilsætningsstofdatabase
